Date,E0,P,Qo
1957-04-20,1.9813,7.3655,0.5448032016418676
1957-04-21,2.837,3.9657999999999998,1.0670111852231914
1957-04-22,1.9348,0.0,1.3431808722421754
1957-04-23,3.5223,0.0,0.9954618778860954
1957-04-24,2.7223,0.0,0.6025480143663418
1957-04-25,3.2029,0.0,0.45065424320164194
1957-04-26,2.989,0.0,0.3841231400718316
1957-04-27,3.4354,0.0,0.338932703950744
1957-04-28,2.5363,1.8557000000000001,0.30880574653668547
1957-04-29,3.0448,0.0,0.29751035402770654
1957-04-30,1.4201,13.6379,0.2862105284761416
1957-05-01,1.3488,16.7717,0.2724016008209338
1957-05-02,2.927,20.583799999999997,0.5372714622883529
1957-05-03,2.775,16.4782,6.502506557208825
1957-05-04,3.5099,0.0,5.950171616213442
1957-05-05,4.8772,0.0,5.57357578245254
1957-05-06,4.3966,0.0,5.196984381734223
1957-05-07,3.4323,0.0,3.2010424217547455
1957-05-08,3.9222,0.0336,1.6193505592611595
1957-05-09,1.4511,6.988899999999999,0.8335272652642383
1957-05-10,1.7177,1.5043,0.6628019291944587
1957-05-11,3.9905,0.0,0.6828880451513597
1957-05-12,3.6587,0.0,0.7456554951257055
1957-05-13,3.8912,4.0767,0.810932047203694
1957-05-14,4.0494,0.2351,0.4895719240636223
1957-05-15,3.5471,0.4618,0.3916548794253463
1957-05-16,4.4369,0.0,0.3816140379681888
1957-05-17,5.7206,0.5731,0.3062966444330426
1957-05-18,4.8927,0.126,0.28118789122626986
1957-05-19,4.1982,14.2617,0.2460427296049256
1957-05-20,5.0291,0.0,0.2623607593637763
1957-05-21,5.7237,0.0,0.23599745510518216
1957-05-22,5.1532,0.0,0.21591133914828117
1957-05-23,3.4261,5.976100000000001,0.19959330938943048
1957-05-24,3.5378,24.167800000000003,0.2134022370446383
1957-05-25,4.4338,0.5668,0.34771899435608
1957-05-26,2.5518,4.9415000000000004,0.28871963057978445
1957-05-27,4.7067,0.0,0.33265551564905077
1957-05-28,2.6107,0.0,0.26989249871729093
1957-05-29,6.4182,0.0,0.21842487429451002
1957-05-30,5.6648,0.0,0.1920615700359158
1957-05-31,4.6602,0.0,0.1807661775269369
1957-06-01,1.5596,4.2781,0.169466351975372
1957-06-02,1.9317,1.5272999999999999,0.16570269881990765
1957-06-03,1.2836,2.9793,0.16821180092355054
1957-06-04,2.7719,6.7125,0.1631891636736788
1957-06-05,2.4278,0.5558,0.169466351975372
1957-06-06,1.8976,0.2519,0.18327527963057977
1957-06-07,2.096,0.0047,0.16821180092355054
1957-06-08,3.7579,0.3134,0.15440287326834273
1957-06-09,4.4772,0.5778,0.1468711339148281
1957-06-10,5.3485,0.249,0.14059394561313493
1957-06-11,5.5252,0.0,0.13431675731144177
1957-06-12,5.8973,0.0,0.12678501795792715
1957-06-13,5.4756,0.0504,0.12050782965623397
1957-06-14,5.8787,0.0,0.11548962544894818
1957-06-15,4.4338,2.8502,0.11046698819907645
1957-06-16,6.102,0.0,0.10795788609543354
1957-06-17,4.2323,0.0,0.10418979989738326
1957-06-18,3.7362,0.3601,0.09917159569009748
1957-06-19,5.8074,8.975999999999999,0.09791261159569009
1957-06-20,5.1005,6.8515999999999995,0.10293524884556184
1957-06-21,2.8277,4.2319,0.13431675731144177
1957-06-22,3.8199,15.8823,0.14059394561313493
1957-06-23,4.0029,3.3335,0.27867878912262706
1957-06-24,2.7068,0.0,0.3113148486403283
1957-06-25,1.9348,0.0,0.3113148486403283
1957-06-26,2.1022,2.7919,0.2021068445356593
1957-06-27,2.2417,24.9399,0.17448898922524372
1957-06-28,3.9905,84.03219999999999,2.78678789122627
1957-06-29,5.0074,0.0,4.544223293996921
1957-06-30,4.2726,0.0,3.6780599692149822
1957-07-01,5.5687,0.0,2.8997684145715747
1957-07-02,5.5655,1.1314,1.9959419599794765
1957-07-03,2.8928,0.0,1.3180765520779885
1957-07-04,3.5502,0.0,0.6226341303232427
1957-07-05,6.4089,1.9984,0.3979320677270395
1957-07-06,8.1173,0.0,0.30880574653668547
1957-07-07,8.0863,0.0,0.2623607593637763
1957-07-08,6.2136,0.0,0.2284657157516675
1957-07-09,6.0027,0.0,0.20461594663930222
1957-07-10,6.0213,0.4996,0.18578438173422268
1957-07-11,5.5966,0.0,0.17197545407901488
1957-07-12,8.1483,0.0,0.1631891636736788
1957-07-13,7.1313,0.0,0.1506392201128784
1957-07-14,5.4756,1.207,0.14059394561313493
1957-07-15,5.6524,6.4885,0.13431675731144177
1957-07-16,4.3253,4.1291,0.1481256849666496
1957-07-17,4.6664,5.1556,0.16068006157003592
1957-07-18,3.4323,3.4678,0.17448898922524372
1957-07-19,3.5967,3.4804,0.15942551051821446
1957-07-20,2.0588,2.3529999999999998,0.20461594663930222
1957-07-21,1.6278,5.4643,0.1920615700359158
1957-07-22,2.527,0.0,0.16821180092355054
1957-07-23,3.2711,15.525099999999998,0.1468711339148281
1957-07-24,3.5347,4.8516,0.1481256849666496
1957-07-25,4.1982,0.9362999999999999,0.169466351975372
1957-07-26,5.364,0.0,0.169466351975372
1957-07-27,5.4508,0.0,0.1468711339148281
1957-07-28,5.3051,0.0,0.1330622062596203
1957-07-29,6.381,4.4291,0.11799872755259108
1957-07-30,3.1967,6.0415,0.13683029245767056
1957-07-31,1.6526,15.5801,0.14310748075936378
1957-08-01,1.727,9.3372,0.16068006157003592
1957-08-02,1.4077,10.1178,0.20837959979476653
1957-08-03,2.6572,0.1637,0.2460427296049256
1957-08-04,4.4772,6.7635000000000005,0.20461594663930222
1957-08-05,3.9687,0.0,0.24352919445869675
1957-08-06,7.2678,0.0,0.24855183170856848
1957-08-07,5.0385,0.0,0.18955246793227298
1957-08-08,4.2726,0.0,0.1807661775269369
1957-08-09,1.3705,0.084,0.16570269881990765
1957-08-10,3.6866,0.0,0.14310748075936378
1957-08-11,3.7424,0.0,0.12553046690610573
1957-08-12,3.4944,0.0,0.12553046690610573
1957-08-13,2.5146,0.0,0.10670333504361211
1957-08-14,4.2168,0.0,0.10168069779374038
1957-08-15,4.7718,0.0336,0.0954035094920472
1957-08-16,5.0912,0.0,0.10795788609543354
1957-08-17,4.7191,3.1313,0.09414895844022575
1957-08-18,2.8773,0.2191,0.08912632119035402
1957-08-19,5.1005,0.0,0.08787177013853259
1957-08-20,6.9546,0.0,0.08284913288866085
1957-08-21,6.8647,0.0,0.0790854797331965
1957-08-22,6.5763,0.0,0.07783092868137508
1957-08-23,6.9422,0.0,0.07657194458696769
1957-08-24,6.688,0.0,0.07531739353514623
1957-08-25,5.3485,0.0,0.07280829143150334
1957-08-26,5.9469,0.0,0.07280829143150334
1957-08-27,6.2539,0.0,0.07280829143150334
1957-08-28,5.5749,0.0,0.07029918932786045
1957-08-29,3.1502,0.0,0.06904020523345307
1957-08-30,1.9441,2.6198,0.07155374037968189
1957-08-31,2.0929,7.859299999999999,0.07657194458696769
1957-09-01,2.5952,0.0,0.0790854797331965
1957-09-02,3.7982,0.0,0.07783092868137508
1957-09-03,2.4898,0.0,0.0790854797331965
1957-09-04,1.4945,4.9037,0.07783092868137508
1957-09-05,2.9239,0.0336,0.0815945818368394
1957-09-06,4.8338,0.0,0.0815945818368394
1957-09-07,3.9998,3.6148,0.07657194458696769
1957-09-08,3.3858,1.0495,0.08284913288866085
1957-09-09,2.7285,0.0,0.08536266803488968
1957-09-10,4.6974,2.6869,0.08536266803488968
1957-09-11,1.1317,3.4048,0.08536266803488968
1957-09-12,1.9627,42.8678,0.08912632119035402
1957-09-13,1.5131,2.6527000000000003,0.1631891636736788
1957-09-14,1.4945,6.226100000000001,0.20461594663930222
1957-09-15,0.6325,5.3114,0.20837959979476653
1957-09-16,1.4356,0.0373,0.24855183170856848
1957-09-17,0.7038,6.599700000000001,0.1631891636736788
1957-09-18,1.1627,108.40010000000001,0.4268044740892766
1957-09-19,2.6913,2.0834,3.125720595177014
1957-09-20,1.8541,2.9724,2.975085808106721
1957-09-21,3.4416,0.0,3.2010424217547455
1957-09-22,2.5828,6.396299999999999,2.8997684145715747
1957-09-23,0.8496,0.006200000000000001,1.5314787891226271
1957-09-24,2.9052,0.0,0.7669961621344279
1957-09-25,1.1782,0.0,0.5259760697793742
1957-09-26,0.5488,54.337500000000006,1.0557157927142125
1957-09-27,0.8186,51.56289999999999,4.506564597229349
1957-09-28,0.7844,2.7737999999999996,8.033985346331452
1957-09-29,0.9271,0.6717,7.782924412519241
1957-09-30,0.617,3.6946,8.78717258081067
1957-10-01,1.3239,0.0,6.653145777321703
